ID,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,v20,v21,v22,V23,V24,V25,v26,V27,v28
100,2,0,14,2,2,13,12,4,2,0,3,4,0,0.5,0.5,0.33376452,0.41498634,0.296296296,1,0.179878829,1,1,0,0,0,1,1,0,0.289900949
101,2,0,14,2,3,14,13,5,3,0,3,4,0,0,0.5,0.459725829,0.496512651,0.302469136,1,0.361378957,1,1,0,1,0,1,1,0,0.379531912
102,2,0,15,2,9,9,9,2,1,0,3,4,0,0,0,0.259291617,0.30252939,0.407407407,1,0.128765253,0,0,0,0,0,0,1,0,0.151329878
103,2,0,15,2,9,13,12,4,2,0,1,2,0,0,0,0.313883468,0.341348183,0.358024691,1,0.139602355,1,1,0,0,0,1,0,0,0.198937707
104,2,0,15,2,9,9,9,2,1,0,3,4,0,0,0,0.313883468,0.364911426,0.314814815,1,0.121682737,1,1,0,0,0,0,1,0,0.213283201
105,2,0,15,2,3,13,12,4,2,0,3,4,0,0,0.5,0.31574604,0.389630022,0.320987654,1,0.167164434,1,1,0,0,0,0,1,0,0.236439071
106,2,0,15,2,6,8,8,10,5,0,8,14,0,0,0.5,0.436405768,0.495900592,0.277777778,1,0.310948033,1,1,0,1,1,1,1,0,0.359040374
107,2,0,16,2,1,12,9,2,1,0,3,4,0,0,0.5,0.304148772,0.380299243,0.320987654,1,0.150354126,0,0,0,0,0,0,1,0,0.290643265
108,2,0,65,2,3,21,12,4,2,0,3,4,0,0,0.5,0.348121855,0.382948633,0.358024691,1,0.209403533,1,0,0,0,0,0,1,0,0.321636495
109,2,0,65,2,3,14,13,5,3,0,3,4,0,0,0.5,0.424539129,0.497208221,0.296296296,1,0.340984726,1,0,0,1,1,1,1,0,0.37707655
110,2,0,65,2,6,8,8,10,5,0,8,14,0,0,0.5,0.457110293,0.510736072,0.296296296,1,0.372386722,1,0,0,1,1,1,1,0,0.404852161
111,2,0,17,2,8,25,20,2,1,0,5,9,0,0,0,0.266900962,0.351808489,0.351851852,1,0.141906306,0,0,0,0,0,0,1,1,0.216823274
112,2,0,18,2,2,13,12,4,2,0,3,4,0,0,0.5,0.345963467,0.432151218,0.271604938,1,0.169553716,0,0,0,0,0,0,1,0,0.281465459
113,2,0,18,2,2,13,12,4,2,0,3,4,0,0,0,0.304082191,0.39787261,0.259259259,1,0.091816708,0,0,0,0,0,0,1,0,0.267642947
114,2,0,18,2,1,9,9,2,1,0,1,2,0,0,0.5,0.255181542,0.359052933,0.283950617,1,0.061780015,0,0,0,0,0,0,1,0,0.21814612
115,2,0,18,2,2,13,12,4,2,0,3,4,0,0,0.5,0.313551965,0.405376091,0.277777778,1,0.134994453,0,0,0,0,0,0,1,0,0.240649173
116,2,0,18,2,8,24,19,4,2,0,5,9,0,0,0.5,0.355531092,0.433399998,0.296296296,1,0.216059391,0,0,0,0,0,0,1,1,0.321605288
